col,line,letter,s_read_mm,z_mm,turn,r_mm,x_wound,y_wound,x_crushed,y_crushed
1.0000,11.0000,7.0000,177.0400,54.2950,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,12.0000,1.0000,152.0800,57.0850,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,12.0000,2.0000,156.2400,57.0850,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,12.0000,3.0000,160.4000,57.0850,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,12.0000,4.0000,164.5600,57.0850,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,12.0000,5.0000,168.7200,57.0850,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,12.0000,6.0000,172.8800,57.0850,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,12.0000,7.0000,177.0400,57.0850,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,13.0000,1.0000,152.0800,59.8750,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,13.0000,2.0000,156.2400,59.8750,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,13.0000,3.0000,160.4000,59.8750,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,13.0000,4.0000,164.5600,59.8750,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,13.0000,5.0000,168.7200,59.8750,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,13.0000,6.0000,172.8800,59.8750,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,13.0000,7.0000,177.0400,59.8750,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,14.0000,1.0000,152.0800,62.6650,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,14.0000,2.0000,156.2400,62.6650,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,14.0000,3.0000,160.4000,62.6650,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,14.0000,4.0000,164.5600,62.6650,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,14.0000,5.0000,168.7200,62.6650,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,14.0000,6.0000,172.8800,62.6650,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,14.0000,7.0000,177.0400,62.6650,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,15.0000,1.0000,152.0800,65.4550,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,15.0000,2.0000,156.2400,65.4550,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,15.0000,3.0000,160.4000,65.4550,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,15.0000,4.0000,164.5600,65.4550,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,15.0000,5.0000,168.7200,65.4550,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,15.0000,6.0000,172.8800,65.4550,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,15.0000,7.0000,177.0400,65.4550,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,16.0000,1.0000,152.0800,68.2450,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,16.0000,2.0000,156.2400,68.2450,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,16.0000,3.0000,160.4000,68.2450,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,16.0000,4.0000,164.5600,68.2450,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,16.0000,5.0000,168.7200,68.2450,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,16.0000,6.0000,172.8800,68.2450,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,16.0000,7.0000,177.0400,68.2450,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,17.0000,1.0000,152.0800,71.0350,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,17.0000,2.0000,156.2400,71.0350,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,17.0000,3.0000,160.4000,71.0350,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,17.0000,4.0000,164.5600,71.0350,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,17.0000,5.0000,168.7200,71.0350,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,17.0000,6.0000,172.8800,71.0350,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,17.0000,7.0000,177.0400,71.0350,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,18.0000,1.0000,152.0800,73.8250,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,18.0000,2.0000,156.2400,73.8250,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,18.0000,3.0000,160.4000,73.8250,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,18.0000,4.0000,164.5600,73.8250,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,18.0000,5.0000,168.7200,73.8250,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,18.0000,6.0000,172.8800,73.8250,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,18.0000,7.0000,177.0400,73.8250,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,19.0000,1.0000,152.0800,76.6150,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,19.0000,2.0000,156.2400,76.6150,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,19.0000,3.0000,160.4000,76.6150,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,19.0000,4.0000,164.5600,76.6150,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,19.0000,5.0000,168.7200,76.6150,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,19.0000,6.0000,172.8800,76.6150,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,19.0000,7.0000,177.0400,76.6150,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,20.0000,1.0000,152.0800,79.4050,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,20.0000,2.0000,156.2400,79.4050,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,20.0000,3.0000,160.4000,79.4050,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,20.0000,4.0000,164.5600,79.4050,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,20.0000,5.0000,168.7200,79.4050,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,20.0000,6.0000,172.8800,79.4050,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,20.0000,7.0000,177.0400,79.4050,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,21.0000,1.0000,152.0800,82.1950,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,21.0000,2.0000,156.2400,82.1950,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,21.0000,3.0000,160.4000,82.1950,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,21.0000,4.0000,164.5600,82.1950,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,21.0000,5.0000,168.7200,82.1950,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,21.0000,6.0000,172.8800,82.1950,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,21.0000,7.0000,177.0400,82.1950,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,22.0000,1.0000,152.0800,84.9850,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,22.0000,2.0000,156.2400,84.9850,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,22.0000,3.0000,160.4000,84.9850,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,22.0000,4.0000,164.5600,84.9850,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,22.0000,5.0000,168.7200,84.9850,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,22.0000,6.0000,172.8800,84.9850,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,22.0000,7.0000,177.0400,84.9850,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,23.0000,1.0000,152.0800,87.7750,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,23.0000,2.0000,156.2400,87.7750,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,23.0000,3.0000,160.4000,87.7750,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,23.0000,4.0000,164.5600,87.7750,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
